Paper,Year,Bosu2016_57extra,Liebchen2010,RosliTemperoLuxton-Reilly2013,Bosu2016_LitRev,Snowballing,Quantitative,Qualitative,Data collection,Manual noise checking,Automatic noise checking,Empirical analysis of quality,Data quality meta-data,Is noise a problem?,Quality incl defects,"Cost incl productivity, schedule",Other problem domain
LiMalaiya1993.pdf,1993,,x,,,,Y,,,,,,,Y,Y,,
Gulezian1995.pdf,1995,,x,,,,Y,,Y,Y,,,,Y,,,Y
DevanbuKarstuMeloThomas1996.pdf,1996,,x,,,,Y,,,,,,,Y,,Y,
FinnieWittig1996.pdf,1996,,x,,,,Y,,,,,,,Y,,Y,
Ruhe1996.pdf,1996,,x,,,,Y,,,,,,,Y,,Y,
FinnieWittigDesharnais1997b.pdf,1997,x,x,,,,Y,,,,,,,Y,,Y,
Ebert1997.pdf,1997,,x,,,,Y,,,,,,,Y,,Y,
FinnieWittigDesharnais1997.pdf,1997,,x,,,,Y,,,,,,,Y,,Y,
WittigFinnie1997.pdf,1997,,x,,,,Y,,,,,,,Y,,Y,
Johnson1998.pdf,1998,,x,,,,Y,Y,Y,,,,,Y,,,Y
Haase1998.pdf,1998,,x,,,,,Y,Y,,,,,Y,,,Y
JohnsonDisney1999.pdf,1999,x,x,,,,,Y,Y,Y,,Y,,Y,,,Y
BennettBurdKemererLehmanLeeMadachyMairSjobergSlaughter1999.pdf,1999,x,x,,,,n.a.,n.a.,,,,,,n.a.,,,Y
Johnson1999.pdf,1999,,x,,,,Y,Y,,,,,,Y,,,Y
KhoshgoftaarAllen1999.pdf,1999,,x,,,,Y,Y,,,,,,Y,Y,,
Ebert1999.pdf,1999,,x,,,,Y,,Y,,,,,Y,,Y,
BoehmSullivan1999.pdf,1999,,x,,,,Y,,,,,,,Y,,Y,
AlmeidaMatwin1999.pdf,1999,,x,,,,Y,,Y,,,,,Y,Y,,
EbertLiedtkeBaisch1999.pdf,1999,,x,,,,Y,,,,,,,Y,Y,,
FentonNeil1999.pdf,1999,,x,,,,Y,,,,,,,Y,Y,,
Moses2000.pdf,2000,,x,,,,Y,,,,Y,,,Y,,,Y
MorascaRuhe2000.pdf,2000,,x,,,,Y,,,,,,,n.a.,Y,,
Wesslen2000.pdf,2000,,x,,,,Y,,Y,,,,,No,,,Y
ElEmamBenlarbiGoelRai2001.pdf,2001,x,,,,,Y,,,,,,,Y,Y,,
ShullCarverTravassos2001.pdf,2001,,x,,,,Y,Y,,Y,,,,Y,Y,,
Wieczorek2002.pdf,2002,x,x,,,,Y,,Y,,,,,n.a.,,Y,
